Altium Designer Pick and Place Locations
C:\UWRT\Altium\electric_boogaloo\LilBoatBoards\MKII\PoHalf v2\Project Outputs for PoHalf\Pick Place for PoHalf.csv

========================================================================================================================
File Design Information:

Date:       28/01/26
Time:       10:49
Revision:   4b274e222a7070e6ab62f0b3b2d37a059994f0f1
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP2","PCB Test Point","TopLayer","TESTPOINT_1.2MM","4320.000","805.000","90","PCB Test Point"
"TP1","PCB Test Point","TopLayer","TESTPOINT_1.2MM","4230.000","740.000","90","PCB Test Point"
"J11","61300311121","TopLayer","61300311121","5571.000","233.000","90","THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 3 pins"
"R29","1k Ohm 5% 1/8W","TopLayer","RESISTOR_0603","5360.000","230.000","90","RES 1k OHM 5% 1/8W 0603"
"R30","1k Ohm 5% 1/8W","TopLayer","RESISTOR_0603","5775.000","460.000","180","RES 1k OHM 5% 1/8W 0603"
"R31","20k Ohm 1% 1/16W","TopLayer","RESISTOR_0402","5920.000","470.000","270","RES 20k OHM 1% 1/16W 0402"
"Q8","PNP 60V 600mA SOT23","TopLayer","SOT-23-3","5550.000","500.000","90","PNP 60 V 600mA Surface Mount SOT-23"
"J12","JST GH VERT","TopLayer","CONN_JST_SM02B-GHS-TB(LF)(SN)","5770.394","312.008","0","JST GH Pitch 2 Pos Vertical"
"J16","XH2.54 VERT","TopLayer","CONN_JST_XH254_2POS_VERT","6290.657","1558.437","90","JST XH 2.54mm Pitch 2 Pos Vertical"
"F1","0685H9150-01","TopLayer","0501Series_LTF","5835.657","1780.000","0","Bel Fuse"
"F4","3413.0330.22","TopLayer","FP-3413_0330_22-MFG","5840.657","833.437","0","FUSE BOARD MNT 15A 32VAC 63VDC"
"F3","0685H9150-01","TopLayer","0501Series_LTF","5840.657","1153.437","0","Bel Fuse"
"F2","0685H9150-01","TopLayer","0501Series_LTF","5835.657","1358.437","0","Bel Fuse"
"R5","1k Ohm 5% 1/8W","TopLayer","RESISTOR_0603","1195.000","825.000","90","RES 1k OHM 5% 1/8W 0603"
"R3","1k Ohm 5% 1/8W","TopLayer","RESISTOR_0603","1100.000","825.000","90","RES 1k OHM 5% 1/8W 0603"
"R6","1k Ohm 5% 1/8W","TopLayer","RESISTOR_0603","1310.000","876.500","90","RES 1k OHM 5% 1/8W 0603"
"Q4","MMBT3904-7-F","TopLayer","FP-SOT23-IPC_A","991.024","1028.453","90","TRANS NPN 40V 0.2A SMD SOT23-3"
"Q2","MMBT3904-7-F","TopLayer","FP-SOT23-IPC_A","826.024","951.547","270","TRANS NPN 40V 0.2A SMD SOT23-3"
"J2","Microfit+ R/A","TopLayer","CONN_MOLEX_MICROFIT_4_POS_R/A","339.408","1130.945","270","Molex Microfit+ 
212528 4 POS R/A Black"
"J7","Redcube M4 Term 85A","TopLayer","Redcube_M4_Term_85A","3850.000","3000.000","0",""
"J9","Redcube M4 Term 85A","TopLayer","Redcube_M4_Term_85A","4750.000","2325.000","0",""
"J6","Redcube M4 Term 85A","TopLayer","Redcube_M4_Term_85A","3850.000","3650.000","0",""
"J10","Redcube M4 Term 85A","TopLayer","Redcube_M4_Term_85A","5400.000","2325.000","0",""
"U1","MBRB2545CT","TopLayer","D2PAK_VIS","2491.500","4110.000","90","Diode Array 1 Pair Common Cathode 45 V Surface Mount TO-263-3, D²Pak (2 Leads + Tab), TO-263AB"
"U7","LM1117IMPX-3.3/NOPB","TopLayer","SOT-223-4","3740.000","915.000","270","800-mA 15-V linear voltage regulator 4-SOT-223 -40 to 125"
"U2","MCP3428-E/SL","TopLayer","SOIC127P600X175-14N","2466.653","470.000","0","16 Bit Analog to Digital Converter 4 Input 1 Sigma-Delta 14-SOIC"
"U3","SHT14 SENSOR HUMID/TEMP","TopLayer","XDCR_SHT41-AD1B-R2","2700.000","260.000","0","Digital Relative Humidity Temperature Sensor, Â±1.8 / max 2.5 %RH, Â±0.2 Â°C, Ultra-Low-Power"
"U5","DG448DV-T1-E3","TopLayer","TSOP6_DG_VIS-M","3250.000","2925.000","180","IC SWITCH SPST-NOX1 25OHM 6TSOP"
"U6","TC4432EOA713","TopLayer","SOIC8-N_MC_MCH","3405.000","3185.000","90","High-Side or Low-Side Gate Driver IC Non-Inverting 8-SOIC"
"U4","TC4432EOA713","TopLayer","SOIC8-N_MC_MCH","3130.000","3175.000","90","High-Side or Low-Side Gate Driver IC Non-Inverting 8-SOIC"
"R7","3.9k Ohm 5% 1/10W","TopLayer","RESISTOR_0603","1650.000","1080.000","180","RES 3.9k OHM 1% 1/10W 0603"
