Altium Designer Pick and Place Locations
C:\UWRT\Altium\electric_boogaloo\TalosBoards\FPGA Accoustics\Project Outputs for FPGA Accoustics\Pick Place for FPGA(5V LDO).csv

========================================================================================================================
File Design Information:

Date:       27/01/26
Time:       13:40
Revision:   d917a634aa7be0b0754ff28ca8c66df2fe589cf9
Variant:    5V LDO
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U8","MC7805BDTRKG","TopLayer","DPAK-2","1506.250","965.158","270","Linear Voltage Regulator IC Positive Fixed 1 Output 1A DPAK"
"TP6","PCB Test Point","TopLayer","TESTPOINT_1.2MM","2880.000","1650.000","90","PCB Test Point"
"TP5","PCB Test Point","TopLayer","TESTPOINT_1.2MM","2895.000","1030.000","90","PCB Test Point"
"TP4","PCB Test Point","TopLayer","TESTPOINT_1.2MM","3030.000","1720.000","90","PCB Test Point"
"TP3","PCB Test Point","TopLayer","TESTPOINT_1.2MM","3035.000","2390.000","90","PCB Test Point"
"TP2","PCB Test Point","TopLayer","TESTPOINT_1.2MM","2280.000","710.000","90","PCB Test Point"
"TP1","PCB Test Point","TopLayer","TESTPOINT_1.2MM","1235.000","805.000","90","PCB Test Point"
"SB2","JUMPER_0_1206","TopLayer","RESISTOR_1206","1125.000","1055.000","180","JUMPER 0OHM 1206"
"R64","10k Ohm 5% 1/10W","TopLayer","RESISTOR_0603","1465.000","665.000","0","RES 10k OHM 5% 1/10W 0603"
"D1","150060GS75000","TopLayer","LED_0603","1460.000","460.000","180","LED Green Vf= 3.2V If = 0.025A
150060GS75000"
"C34","10uF Ceramic 6.3V","TopLayer","CAPACITOR_0603","1470.000","775.000","0","Cap 10uF 6.3V +/-20%
Ceramic 0603"
"C33","TAJR334K020RNJ","TopLayer","CAPC2113X120X50NL20T30","1270.000","1005.000","90",""
"SB1","0 Ohm Jumper No Fit","TopLayer","RESISTOR_0603","2160.000","690.000","180","0 Ohm Jumper No Fit for Solder Bridge"
"C32","100nF Ceramic 6.3V","TopLayer","CAPACITOR_0603","2155.000","605.000","0","Cap 100nF 6.3V +/-10%
Ceramic 0603"
"C31","100nF Ceramic 6.3V","TopLayer","CAPACITOR_0603","2005.000","605.000","0","Cap 100nF 6.3V +/-10%
Ceramic 0603"
"U3","OPA2354AIDGKR","TopLayer","DGK0008A_M","2250.000","940.000","0","250 MHz, Rail-to-Rail I/O, CMOS Dual Operational Amplifier, 2.7 to 5.5 V, -40 to 125 degC, 8-pin SOP (DGK8), Green (RoHS & no Sb/Br)"
"U4","OPA2354AIDGKR","TopLayer","DGK0008A_M","2250.000","1340.000","0","250 MHz, Rail-to-Rail I/O, CMOS Dual Operational Amplifier, 2.7 to 5.5 V, -40 to 125 degC, 8-pin SOP (DGK8), Green (RoHS & no Sb/Br)"
"C11","100nF Ceramic 25V","TopLayer","CAPACITOR_0603","2310.000","1065.000","180","Cap 100nF 25V +/-10%
Ceramic 0603"
"C13","1uF Ceramic 16V","TopLayer","CAPACITOR_0603","1930.000","965.000","90","Cap 1uF 16V +/-10%
Ceramic 0603"
"C14","1uF Ceramic 16V","TopLayer","CAPACITOR_0603","2520.000","995.000","270","Cap 1uF 16V +/-10%
Ceramic 0603"
"C17","100nF Ceramic 25V","TopLayer","CAPACITOR_0603","2180.000","830.000","0","Cap 100nF 25V +/-10%
Ceramic 0603"
"R18","100k Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2440.000","940.000","90","RES 100k OHM 1% 1/16W 0402"
"R20","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2075.000","945.000","270","RES 1M OHM 1% 1/16W 0402"
"R21","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2430.000","1030.000","0","RES 1M OHM 1% 1/16W 0402"
"R22","10k Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2190.000","1060.000","180","RES 10k OHM 1% 1/16W 0402"
"R28","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2005.000","945.000","90","RES 1M OHM 1% 1/16W 0402"
"R57","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2428.701","1100.000","180","RES 1M OHM 1% 1/16W 0402"
"R58","0 Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2365.000","835.000","0","RES 0 OHM 1% 1/16W 0402"
"R61","0 Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2365.000","1235.000","0","RES 0 OHM 1% 1/16W 0402"
"R60","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2428.701","1500.000","180","RES 1M OHM 1% 1/16W 0402"
"R59","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2005.000","1345.000","90","RES 1M OHM 1% 1/16W 0402"
"R27","10k Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2190.000","1460.000","180","RES 10k OHM 1% 1/16W 0402"
"R26","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2430.000","1430.000","0","RES 1M OHM 1% 1/16W 0402"
"R25","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2075.000","1345.000","270","RES 1M OHM 1% 1/16W 0402"
"R23","100k Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2440.000","1340.000","90","RES 100k OHM 1% 1/16W 0402"
"C18","100nF Ceramic 25V","TopLayer","CAPACITOR_0603","2180.000","1230.000","0","Cap 100nF 25V +/-10%
Ceramic 0603"
"C16","1uF Ceramic 16V","TopLayer","CAPACITOR_0603","2520.000","1395.000","270","Cap 1uF 16V +/-10%
Ceramic 0603"
"C15","1uF Ceramic 16V","TopLayer","CAPACITOR_0603","1930.000","1365.000","90","Cap 1uF 16V +/-10%
Ceramic 0603"
"C12","100nF Ceramic 25V","TopLayer","CAPACITOR_0603","2310.000","1465.000","180","Cap 100nF 25V +/-10%
Ceramic 0603"
"C3","100nF Ceramic 25V","TopLayer","CAPACITOR_0603","2310.000","1865.000","180","Cap 100nF 25V +/-10%
Ceramic 0603"
"C7","1uF Ceramic 16V","TopLayer","CAPACITOR_0603","1930.000","1765.000","90","Cap 1uF 16V +/-10%
Ceramic 0603"
"C8","1uF Ceramic 16V","TopLayer","CAPACITOR_0603","2520.000","1795.000","270","Cap 1uF 16V +/-10%
Ceramic 0603"
"C10","100nF Ceramic 25V","TopLayer","CAPACITOR_0603","2180.000","1630.000","0","Cap 100nF 25V +/-10%
Ceramic 0603"
"R2","100k Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2440.000","1740.000","90","RES 100k OHM 1% 1/16W 0402"
"R6","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2075.000","1745.000","270","RES 1M OHM 1% 1/16W 0402"
"R7","1M Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2430.000","1830.000","0","RES 1M OHM 1% 1/16W 0402"
"R9","10k Ohm 1% 1/16W","TopLayer","RESISTOR_0402","2190.000","1860.000","180","RES 10k OHM 1% 1/16W 0402"
