X,CH1,
Second,Volt,
-1.63840e-01,3.20e-03,
-1.63820e-01,3.20e-03,
-1.63800e-01,4.00e-03,
-1.63780e-01,4.00e-03,
-1.63760e-01,5.60e-03,
-1.63740e-01,8.80e-03,
-1.63720e-01,1.44e-02,
-1.63700e-01,8.80e-03,
-1.63680e-01,6.40e-03,
-1.63660e-01,5.60e-03,
-1.63640e-01,7.20e-03,
-1.63620e-01,7.20e-03,
-1.63600e-01,7.20e-03,
-1.63580e-01,6.40e-03,
-1.63560e-01,6.40e-03,
-1.63540e-01,3.20e-03,
-1.63520e-01,5.60e-03,
-1.63500e-01,4.00e-03,
-1.63480e-01,4.80e-03,
-1.63460e-01,4.80e-03,
-1.63440e-01,4.00e-03,
-1.63420e-01,4.00e-03,
-1.63400e-01,-1.60e-03,
-1.63380e-01,4.00e-03,
-1.63360e-01,1.60e-03,
-1.63340e-01,3.20e-03,
-1.63320e-01,2.40e-03,
-1.63300e-01,8.00e-04,
-1.63280e-01,3.20e-03,
-1.63260e-01,3.20e-03,
-1.63240e-01,2.40e-03,
-1.63220e-01,8.00e-04,
-1.63200e-01,8.00e-04,
-1.63180e-01,2.40e-03,
-1.63160e-01,5.60e-03,
-1.63140e-01,4.00e-03,
-1.63120e-01,3.20e-03,
-1.63100e-01,2.40e-03,
-1.63080e-01,4.80e-03,
-1.63060e-01,2.40e-03,
-1.63040e-01,3.20e-03,
-1.63020e-01,4.00e-03,
-1.63000e-01,-2.40e-03,
-1.62980e-01,8.00e-04,
-1.62960e-01,8.00e-04,
-1.62940e-01,2.40e-03,
-1.62920e-01,8.00e-04,
-1.62900e-01,8.00e-04,
-1.62880e-01,2.40e-03,
-1.62860e-01,2.40e-03,
-1.62840e-01,2.40e-03,
-1.62820e-01,8.00e-04,
-1.62800e-01,2.40e-03,
-1.62780e-01,4.00e-03,
-1.62760e-01,3.20e-03,
-1.62740e-01,4.80e-03,
-1.62720e-01,4.00e-03,
-1.62700e-01,4.80e-03,
-1.62680e-01,4.80e-03,
-1.62660e-01,4.80e-03,
-1.62640e-01,5.60e-03,
-1.62620e-01,6.40e-03,
-1.62600e-01,4.80e-03,
-1.62580e-01,4.00e-03,
-1.62560e-01,6.40e-03,
-1.62540e-01,4.00e-03,
-1.62520e-01,6.40e-03,
-1.62500e-01,7.20e-03,
-1.62480e-01,2.40e-03,
-1.62460e-01,5.60e-03,
-1.62440e-01,4.80e-03,
-1.62420e-01,4.00e-03,
-1.62400e-01,5.60e-03,
-1.62380e-01,5.60e-03,
-1.62360e-01,4.80e-03,
-1.62340e-01,4.00e-03,
-1.62320e-01,4.00e-03,
-1.62300e-01,4.00e-03,
-1.62280e-01,8.00e-04,
-1.62260e-01,5.60e-03,
-1.62240e-01,2.40e-03,
-1.62220e-01,4.00e-03,
-1.62200e-01,5.60e-03,
-1.62180e-01,6.40e-03,
-1.62160e-01,7.20e-03,
-1.62140e-01,8.80e-03,
-1.62120e-01,4.80e-03,
-1.62100e-01,6.40e-03,
-1.62080e-01,5.60e-03,
-1.62060e-01,5.60e-03,
-1.62040e-01,4.00e-03,
-1.62020e-01,4.00e-03,
-1.62000e-01,4.00e-03,
-1.61980e-01,4.00e-03,
-1.61960e-01,2.40e-03,
-1.61940e-01,4.80e-03,
-1.61920e-01,4.80e-03,
-1.61900e-01,6.40e-03,
-1.61880e-01,4.80e-03,
-1.61860e-01,2.40e-03,
-1.61840e-01,3.20e-03,
-1.61820e-01,3.20e-03,
-1.61800e-01,6.40e-03,
-1.61780e-01,4.80e-03,
-1.61760e-01,3.20e-03,
-1.61740e-01,5.60e-03,
-1.61720e-01,4.00e-03,
-1.61700e-01,5.60e-03,
-1.61680e-01,4.80e-03,
-1.61660e-01,6.40e-03,
-1.61640e-01,8.00e-03,
-1.61620e-01,7.20e-03,
-1.61600e-01,5.60e-03,
-1.61580e-01,6.40e-03,
-1.61560e-01,9.60e-03,
-1.61540e-01,7.20e-03,
-1.61520e-01,7.20e-03,
-1.61500e-01,8.80e-03,
-1.61480e-01,5.60e-03,
-1.61460e-01,5.60e-03,
-1.61440e-01,4.00e-03,
-1.61420e-01,4.00e-03,
-1.61400e-01,4.00e-03,
-1.61380e-01,4.00e-03,
-1.61360e-01,2.40e-03,
-1.61340e-01,3.20e-03,
-1.61320e-01,2.40e-03,
-1.61300e-01,3.20e-03,
-1.61280e-01,4.00e-03,
-1.61260e-01,4.00e-03,
-1.61240e-01,2.40e-03,
-1.61220e-01,4.00e-03,
-1.61200e-01,2.40e-03,
-1.61180e-01,4.80e-03,
-1.61160e-01,4.00e-03,
-1.61140e-01,8.00e-04,
-1.61120e-01,1.60e-03,
-1.61100e-01,3.20e-03,
-1.61080e-01,2.40e-03,
-1.61060e-01,2.40e-03,
-1.61040e-01,2.40e-03,
-1.61020e-01,4.00e-03,
-1.61000e-01,5.60e-03,
-1.60980e-01,2.40e-03,
-1.60960e-01,4.00e-03,
-1.60940e-01,1.12e-02,
-1.60920e-01,3.20e-03,
-1.60900e-01,7.20e-03,
-1.60880e-01,2.40e-03,
-1.60860e-01,2.40e-03,
-1.60840e-01,2.40e-03,
-1.60820e-01,1.60e-03,
-1.60800e-01,-8.00e-04,
-1.60780e-01,4.00e-03,
-1.60760e-01,-6.40e-03,
-1.60740e-01,4.00e-03,
-1.60720e-01,3.20e-03,
-1.60700e-01,3.20e-03,
-1.60680e-01,3.20e-03,
-1.60660e-01,4.80e-03,
-1.60640e-01,4.00e-03,
-1.60620e-01,3.20e-03,
-1.60600e-01,4.00e-03,
-1.60580e-01,2.40e-03,
-1.60560e-01,4.80e-03,
-1.60540e-01,4.80e-03,
-1.60520e-01,3.20e-03,
-1.60500e-01,4.00e-03,
-1.60480e-01,2.40e-03,
-1.60460e-01,5.60e-03,
-1.60440e-01,4.00e-03,
-1.60420e-01,5.60e-03,
-1.60400e-01,4.80e-03,
-1.60380e-01,5.60e-03,
-1.60360e-01,3.20e-03,
-1.60340e-01,4.00e-03,
-1.60320e-01,3.20e-03,
-1.60300e-01,2.40e-03,
-1.60280e-01,1.60e-03,
-1.60260e-01,2.40e-03,
-1.60240e-01,2.40e-03,
-1.60220e-01,2.40e-03,
-1.60200e-01,3.20e-03,
-1.60180e-01,3.20e-03,
-1.60160e-01,1.60e-03,
-1.60140e-01,2.40e-03,
-1.60120e-01,2.40e-03,
-1.60100e-01,8.00e-04,
-1.60080e-01,1.60e-03,
-1.60060e-01,8.00e-04,
-1.60040e-01,3.20e-03,
-1.60020e-01,2.40e-03,
-1.60000e-01,3.20e-03,
-1.59980e-01,2.40e-03,
-1.59960e-01,3.20e-03,
-1.59940e-01,3.20e-03,
-1.59920e-01,2.40e-03,
-1.59900e-01,6.40e-03,
-1.59880e-01,5.60e-03,
-1.59860e-01,4.00e-03,
-1.59840e-01,3.20e-03,
-1.59820e-01,4.00e-03,
-1.59800e-01,4.00e-03,
-1.59780e-01,4.80e-03,
-1.59760e-01,4.80e-03,
-1.59740e-01,3.20e-03,
-1.59720e-01,4.80e-03,
-1.59700e-01,4.00e-03,
-1.59680e-01,5.60e-03,
-1.59660e-01,4.80e-03,
-1.59640e-01,4.80e-03,
-1.59620e-01,4.80e-03,
-1.59600e-01,4.80e-03,
-1.59580e-01,4.00e-03,
-1.59560e-01,4.00e-03,
-1.59540e-01,6.40e-03,
-1.59520e-01,4.00e-03,
-1.59500e-01,5.60e-03,
-1.59480e-01,3.20e-03,
-1.59460e-01,6.40e-03,
-1.59440e-01,5.60e-03,
-1.59420e-01,4.80e-03,
-1.59400e-01,5.60e-03,
-1.59380e-01,5.60e-03,
-1.59360e-01,4.80e-03,
-1.59340e-01,5.60e-03,
-1.59320e-01,6.40e-03,
-1.59300e-01,3.20e-03,
-1.59280e-01,4.80e-03,
-1.59260e-01,4.00e-03,
-1.59240e-01,4.00e-03,
-1.59220e-01,5.60e-03,
-1.59200e-01,4.00e-03,
-1.59180e-01,4.00e-03,
-1.59160e-01,4.80e-03,
-1.59140e-01,4.00e-03,
-1.59120e-01,4.80e-03,
-1.59100e-01,4.80e-03,
-1.59080e-01,5.60e-03,
-1.59060e-01,5.60e-03,
-1.59040e-01,4.00e-03,
-1.59020e-01,4.80e-03,
-1.59000e-01,5.60e-03,
-1.58980e-01,4.00e-03,
-1.58960e-01,7.20e-03,
-1.58940e-01,7.20e-03,
-1.58920e-01,7.20e-03,
-1.58900e-01,6.40e-03,
-1.58880e-01,7.20e-03,
-1.58860e-01,7.20e-03,
-1.58840e-01,7.20e-03,
-1.58820e-01,7.20e-03,
-1.58800e-01,6.40e-03,
-1.58780e-01,8.00e-03,
-1.58760e-01,7.20e-03,
-1.58740e-01,6.40e-03,
-1.58720e-01,6.40e-03,
-1.58700e-01,4.00e-03,
-1.58680e-01,6.40e-03,
-1.58660e-01,-8.00e-04,
-1.58640e-01,4.00e-03,
-1.58620e-01,4.00e-03,
-1.58600e-01,3.20e-03,
-1.58580e-01,4.00e-03,
-1.58560e-01,3.20e-03,
-1.58540e-01,3.20e-03,
-1.58520e-01,4.00e-03,
-1.58500e-01,5.60e-03,
-1.58480e-01,3.20e-03,
