X,CH1,
Second,Volt,
-3.27680e-04,1.60e-03,
-3.27640e-04,2.40e-03,
-3.27600e-04,3.20e-03,
-3.27560e-04,2.40e-03,
-3.27520e-04,1.60e-03,
-3.27480e-04,2.40e-03,
-3.27440e-04,2.40e-03,
-3.27400e-04,1.60e-03,
-3.27360e-04,1.60e-03,
-3.27320e-04,8.00e-04,
-3.27280e-04,8.00e-04,
-3.27240e-04,2.40e-03,
-3.27200e-04,1.60e-03,
-3.27160e-04,2.40e-03,
-3.27120e-04,2.40e-03,
-3.27080e-04,2.40e-03,
-3.27040e-04,2.40e-03,
-3.27000e-04,8.00e-04,
-3.26960e-04,2.40e-03,
-3.26920e-04,2.40e-03,
-3.26880e-04,2.40e-03,
-3.26840e-04,8.00e-04,
-3.26800e-04,8.00e-04,
-3.26760e-04,8.00e-04,
-3.26720e-04,2.40e-03,
-3.26680e-04,2.40e-03,
-3.26640e-04,2.40e-03,
-3.26600e-04,1.60e-03,
-3.26560e-04,1.60e-03,
-3.26520e-04,1.60e-03,
-3.26480e-04,1.60e-03,
-3.26440e-04,8.00e-04,
-3.26400e-04,8.00e-04,
-3.26360e-04,2.40e-03,
-3.26320e-04,4.00e-03,
-3.26280e-04,1.60e-03,
-3.26240e-04,8.00e-04,
-3.26200e-04,8.00e-04,
-3.26160e-04,1.60e-03,
-3.26120e-04,8.00e-04,
-3.26080e-04,2.40e-03,
-3.26040e-04,2.40e-03,
-3.26000e-04,8.00e-04,
-3.25960e-04,1.60e-03,
-3.25920e-04,2.40e-03,
-3.25880e-04,1.60e-03,
-3.25840e-04,1.60e-03,
-3.25800e-04,8.00e-04,
-3.25760e-04,2.40e-03,
-3.25720e-04,8.00e-04,
-3.25680e-04,1.60e-03,
-3.25640e-04,2.40e-03,
-3.25600e-04,1.60e-03,
-3.25560e-04,1.60e-03,
-3.25520e-04,8.00e-04,
-3.25480e-04,8.00e-04,
-3.25440e-04,8.00e-04,
-3.25400e-04,8.00e-04,
-3.25360e-04,1.60e-03,
-3.25320e-04,2.40e-03,
-3.25280e-04,1.60e-03,
-3.25240e-04,8.00e-04,
-3.25200e-04,-1.60e-03,
-3.25160e-04,2.40e-03,
-3.25120e-04,3.20e-03,
-3.25080e-04,2.40e-03,
-3.25040e-04,8.00e-04,
-3.25000e-04,-8.00e-04,
-3.24960e-04,8.00e-04,
-3.24920e-04,8.00e-04,
-3.24880e-04,8.00e-04,
-3.24840e-04,1.60e-03,
-3.24800e-04,8.00e-04,
-3.24760e-04,-8.00e-04,
-3.24720e-04,-8.00e-04,
-3.24680e-04,1.60e-03,
-3.24640e-04,1.60e-03,
-3.24600e-04,8.00e-04,
-3.24560e-04,8.00e-04,
-3.24520e-04,8.00e-04,
-3.24480e-04,2.40e-03,
-3.24440e-04,1.60e-03,
-3.24400e-04,8.00e-04,
-3.24360e-04,8.00e-04,
-3.24320e-04,8.00e-04,
-3.24280e-04,8.00e-04,
-3.24240e-04,1.60e-03,
-3.24200e-04,8.00e-04,
-3.24160e-04,8.00e-04,
-3.24120e-04,8.00e-04,
-3.24080e-04,8.00e-04,
-3.24040e-04,8.00e-04,
-3.24000e-04,1.60e-03,
-3.23960e-04,1.60e-03,
-3.23920e-04,1.60e-03,
-3.23880e-04,8.00e-04,
-3.23840e-04,-8.00e-04,
-3.23800e-04,8.00e-04,
-3.23760e-04,1.60e-03,
-3.23720e-04,-8.00e-04,
-3.23680e-04,-8.00e-04,
-3.23640e-04,8.00e-04,
-3.23600e-04,8.00e-04,
-3.23560e-04,1.60e-03,
-3.23520e-04,8.00e-04,
-3.23480e-04,1.60e-03,
-3.23440e-04,1.60e-03,
-3.23400e-04,8.00e-04,
-3.23360e-04,1.60e-03,
-3.23320e-04,2.40e-03,
-3.23280e-04,8.00e-04,
-3.23240e-04,8.00e-04,
-3.23200e-04,1.60e-03,
-3.23160e-04,1.60e-03,
-3.23120e-04,1.60e-03,
-3.23080e-04,-8.00e-04,
-3.23040e-04,-8.00e-04,
-3.23000e-04,1.60e-03,
-3.22960e-04,1.60e-03,
-3.22920e-04,1.60e-03,
-3.22880e-04,8.00e-04,
-3.22840e-04,1.60e-03,
-3.22800e-04,2.40e-03,
-3.22760e-04,2.40e-03,
-3.22720e-04,2.40e-03,
-3.22680e-04,8.00e-04,
-3.22640e-04,-8.00e-04,
-3.22600e-04,1.60e-03,
-3.22560e-04,2.40e-03,
-3.22520e-04,3.20e-03,
-3.22480e-04,2.40e-03,
-3.22440e-04,8.00e-04,
-3.22400e-04,8.00e-04,
-3.22360e-04,1.60e-03,
-3.22320e-04,2.40e-03,
-3.22280e-04,2.40e-03,
-3.22240e-04,1.60e-03,
-3.22200e-04,-8.00e-04,
-3.22160e-04,8.00e-04,
-3.22120e-04,2.40e-03,
-3.22080e-04,2.40e-03,
-3.22040e-04,1.60e-03,
-3.22000e-04,-8.00e-04,
-3.21960e-04,8.00e-04,
-3.21920e-04,2.40e-03,
-3.21880e-04,3.20e-03,
-3.21840e-04,2.40e-03,
-3.21800e-04,8.00e-04,
-3.21760e-04,-1.60e-03,
-3.21720e-04,1.60e-03,
-3.21680e-04,2.40e-03,
-3.21640e-04,3.20e-03,
-3.21600e-04,2.40e-03,
-3.21560e-04,1.60e-03,
-3.21520e-04,2.40e-03,
-3.21480e-04,2.40e-03,
-3.21440e-04,1.60e-03,
-3.21400e-04,8.00e-04,
-3.21360e-04,1.60e-03,
-3.21320e-04,3.20e-03,
-3.21280e-04,2.40e-03,
-3.21240e-04,2.40e-03,
-3.21200e-04,2.40e-03,
-3.21160e-04,2.40e-03,
-3.21120e-04,1.60e-03,
-3.21080e-04,2.40e-03,
-3.21040e-04,1.60e-03,
-3.21000e-04,2.40e-03,
-3.20960e-04,3.20e-03,
-3.20920e-04,2.40e-03,
-3.20880e-04,2.40e-03,
-3.20840e-04,2.40e-03,
-3.20800e-04,4.00e-03,
-3.20760e-04,3.20e-03,
-3.20720e-04,3.20e-03,
-3.20680e-04,2.40e-03,
-3.20640e-04,2.40e-03,
-3.20600e-04,1.60e-03,
-3.20560e-04,2.40e-03,
-3.20520e-04,2.40e-03,
-3.20480e-04,2.40e-03,
-3.20440e-04,2.40e-03,
-3.20400e-04,2.40e-03,
-3.20360e-04,2.40e-03,
-3.20320e-04,2.40e-03,
-3.20280e-04,2.40e-03,
-3.20240e-04,3.20e-03,
-3.20200e-04,2.40e-03,
-3.20160e-04,2.40e-03,
-3.20120e-04,2.40e-03,
-3.20080e-04,2.40e-03,
-3.20040e-04,3.20e-03,
-3.20000e-04,3.20e-03,
-3.19960e-04,1.60e-03,
-3.19920e-04,2.40e-03,
-3.19880e-04,3.20e-03,
-3.19840e-04,4.00e-03,
-3.19800e-04,4.00e-03,
-3.19760e-04,4.00e-03,
-3.19720e-04,3.20e-03,
-3.19680e-04,4.00e-03,
-3.19640e-04,4.00e-03,
-3.19600e-04,2.40e-03,
-3.19560e-04,2.40e-03,
