Change Physical Footprint: Designator=C3C Old Footprint=CAPACITOR_0402 New Footprint=CAPACITOR_0402
Change Physical Footprint: Designator=C6 Old Footprint=CAPAE430X550N New Footprint=CAPAE430X550N
Change Physical Footprint: Designator=Q2 Old Footprint=MOSFET_7DP-T1-GE3_VIS New Footprint=MOSFET_7DP-T1-GE3_VIS
Change Physical Footprint: Designator=Q3 Old Footprint=MOSFET_7DP-T1-GE3_VIS New Footprint=MOSFET_7DP-T1-GE3_VIS
Change Physical Footprint: Designator=Q6 Old Footprint=MOSFET_7DP-T1-GE3_VIS New Footprint=MOSFET_7DP-T1-GE3_VIS
Change Physical Footprint: Designator=Q7 Old Footprint=MOSFET_7DP-T1-GE3_VIS New Footprint=MOSFET_7DP-T1-GE3_VIS
Change Physical Footprint: Designator=Q9 Old Footprint=MOSFET_7DP-T1-GE3_VIS New Footprint=MOSFET_7DP-T1-GE3_VIS
Change Physical Footprint: Designator=Q10 Old Footprint=MOSFET_7DP-T1-GE3_VIS New Footprint=MOSFET_7DP-T1-GE3_VIS
Change Physical Footprint: Designator=U1C Old Footprint=SOIC-14 New Footprint=SOIC-14
Change Physical Footprint: Designator=U2C Old Footprint=SOIC-8 New Footprint=SOIC-8
Change Physical Footprint: Designator=U2R Old Footprint=SOIC-8 W25QxJV New Footprint=SOIC-8 W25QxJV
