Change Physical Footprint: Designator=BP1 Old Footprint=BACKPLANE_EDGE_CONN New Footprint=BACKPLANE_EDGE_CONN
Change Physical Footprint: Designator=C1 Old Footprint=CAPAE430X550N New Footprint=CAPAE430X550N
Change Physical Footprint: Designator=C2 Old Footprint=CAPAE430X550N New Footprint=CAPAE430X550N
Change Physical Footprint: Designator=C3 Old Footprint=CAPAE430X550N New Footprint=CAPAE430X550N
Change Physical Footprint: Designator=C4 Old Footprint=CAPAE430X550N New Footprint=CAPAE430X550N
Change Physical Footprint: Designator=C5 Old Footprint=CAPAE430X550N New Footprint=CAPAE430X550N
Change Physical Footprint: Designator=C6 Old Footprint=CAPAE430X550N New Footprint=CAPAE430X550N
Change Physical Footprint: Designator=C7 Old Footprint=CAPACITOR_0603 New Footprint=CAPACITOR_0603
Change Physical Footprint: Designator=C8 Old Footprint=CAPACITOR_0603 New Footprint=CAPACITOR_0603
Change Physical Footprint: Designator=ESCCONN Old Footprint=CON_39301140 New Footprint=CON_39301140
Change Physical Footprint: Designator=J2 Old Footprint=CONN_MOLEX_MINIFIT JR_4 POS_R/A New Footprint=CONN_MOLEX_MINIFIT JR_4 POS_R/A
Change Physical Footprint: Designator=J3 Old Footprint=CONN_MOLEX_MINIFIT JR_4 POS_R/A New Footprint=CONN_MOLEX_MINIFIT JR_4 POS_R/A
Change Physical Footprint: Designator=POT1 Old Footprint=TRIM_TC33X-2-203E New Footprint=TRIM_TC33X-2-203E
Change Physical Footprint: Designator=POT2 Old Footprint=TRIM_TC33X-2-203E New Footprint=TRIM_TC33X-2-203E
Change Physical Footprint: Designator=PS1 Old Footprint=CONV_I6A4W020A033V-001-R New Footprint=CONV_I6A4W020A033V-001-R
Change Physical Footprint: Designator=PS2 Old Footprint=CONV_I6A4W020A033V-001-R New Footprint=CONV_I6A4W020A033V-001-R
Change Physical Footprint: Designator=Q1 Old Footprint=TRANS_PSMN5R5-60YS,115 New Footprint=TRANS_PSMN5R5-60YS,115
Change Physical Footprint: Designator=Q2 Old Footprint=TRANS_PSMN5R5-60YS,115 New Footprint=TRANS_PSMN5R5-60YS,115
Change Physical Footprint: Designator=Q3 Old Footprint=TRANS_PSMN5R5-60YS,115 New Footprint=TRANS_PSMN5R5-60YS,115
Change Physical Footprint: Designator=R1 Old Footprint=RESISTOR_0603 New Footprint=RESISTOR_0603
Change Physical Footprint: Designator=R2 Old Footprint=RESISTOR_0603 New Footprint=RESISTOR_0603
Change Physical Footprint: Designator=R8 Old Footprint=RESISTOR_0603 New Footprint=RESISTOR_0603
Change Physical Footprint: Designator=R9 Old Footprint=RESISTOR_0603 New Footprint=RESISTOR_0603
Change Physical Footprint: Designator=R99 Old Footprint=RESISTOR_0603 New Footprint=RESISTOR_0603
Change Physical Footprint: Designator=SB? Old Footprint=RESISTOR_0603 New Footprint=RESISTOR_0603
Change Physical Footprint: Designator=SB? Old Footprint=RESISTOR_0603 New Footprint=RESISTOR_0603
Change Physical Footprint: Designator=U1 Old Footprint=TSOT-23_S6 New Footprint=TSOT-23_S6
Change Physical Footprint: Designator=U2 Old Footprint=TSOT-23_S6 New Footprint=TSOT-23_S6
Change Physical Footprint: Designator=U5 Old Footprint=SOT-223-4 New Footprint=SOT-223-4
Change Physical Footprint: Designator=U6 Old Footprint=SOT-23-3 New Footprint=SOT-23-3
Change Physical Footprint: Designator=U7 Old Footprint=SOT-23-3 New Footprint=SOT-23-3
Change Physical Footprint: Designator=U98 Old Footprint=SOT-23-3 New Footprint=SOT-23-3
Change Physical Footprint: Designator=U99 Old Footprint=SOT-23-3 New Footprint=SOT-23-3
Change Physical Footprint: Designator=Xavier Old Footprint=CONN_MOLEX_MINIFIT JR_4 POS_R/A New Footprint=CONN_MOLEX_MINIFIT JR_4 POS_R/A
